organisationunitname,organisationunitname,periodname,MOH 747A_Combined Oral contraceptive Pills Dispensed,MOH 747A_Cycle Beads Dispensed,MOH 747A_DMPA-IM Dispensed,MOH 747A_DMPA-SC Dispensed,MOH 747A_Emergency Contraceptive pills Dispensed,MOH 747A_Female Condoms Dispensed,MOH 747A_Hormonal IUCD Dispensed,MOH 747A_Implant (2-Rod) – LNG 75mg (5 years) Dispensed,MOH 747A_Implants (1-Rod) – ENG 68mg Dispensed,MOH 747A_Implants (2-Rod) - LNG 75mg (3 years) Dispensed,MOH 747A_Male Condoms Dispensed,MOH 747A_Non-Hormonal IUCD Dispensed
Revised Ministry of Health (2018),Bukokholo Dispensary,2023,18,,338,,8,5,,25,43,16,"6,532",
Revised Ministry of Health (2018),Bukokholo Dispensary,2024,21,,196,,,432,,22,17,7,"1,587",
Revised Ministry of Health (2018),Bulondo Dispensary,2020,328,,"1,729",,,380,,179,99,,"10,880",1
Revised Ministry of Health (2018),Bulondo Dispensary,2021,423,,669,6,,167,,482,95,,"17,970",8
Revised Ministry of Health (2018),Bulondo Dispensary,2022,227,,452,,10,43,,221,212,141,"8,469",3
Revised Ministry of Health (2018),Bulondo Dispensary,2023,36,,105,,,,1,276,126,50,"15,532",4
Revised Ministry of Health (2018),Bulondo Dispensary,2024,62,,83,,,,,107,62,28,"3,802",6
Revised Ministry of Health (2018),Bumula Sub County Hospital,2020,506,1,"3,444",,,800,,97,55,,"28,911",7
Revised Ministry of Health (2018),Bumula Sub County Hospital,2021,297,,"2,169",,10,53,,354,10,,"18,663",3
Revised Ministry of Health (2018),Bumula Sub County Hospital,2022,792,,663,,,4,,379,296,151,"57,242",14
Revised Ministry of Health (2018),Bumula Sub County Hospital,2023,65,,"1,116",,14,8,,352,547,,"71,896",17
Revised Ministry of Health (2018),Bumula Sub County Hospital,2024,265,2,421,60,23,,,163,73,70,"18,147",16
Revised Ministry of Health (2018),Bungoma Beyond Zero Mobile Unit,2020,153,2,368,,,373,,62,82,,"4,730",15
Revised Ministry of Health (2018),Bungoma Beyond Zero Mobile Unit,2021,303,,661,,,254,,133,,,"6,792",2
Revised Ministry of Health (2018),Bungoma Beyond Zero Mobile Unit,2022,349,,581,,,45,,86,,54,"3,584",
Revised Ministry of Health (2018),Bungoma Beyond Zero Mobile Unit,2023,,,128,,,6,,27,35,6,"2,442",
Revised Ministry of Health (2018),Bungoma Beyond Zero Mobile Unit,2024,120,,58,,,5,,33,4,5,"3,118",
Revised Ministry of Health (2018),Bungoma County Referral Hospital,2020,"2,100",4,"4,170",,15,"1,774",,745,276,,"99,652",384
Revised Ministry of Health (2018),Bungoma County Referral Hospital,2021,"4,085",,"2,352",,19,80,,817,178,,"137,075",187
Revised Ministry of Health (2018),Bungoma County Referral Hospital,2022,"3,360",1,"3,069",,18,34,,868,354,765,"35,361",202
Revised Ministry of Health (2018),Bungoma County Referral Hospital,2023,257,6,"2,967",1,70,6,,"1,092",596,191,"128,971",329
Revised Ministry of Health (2018),Bungoma County Referral Hospital,2024,585,1,"1,163",209,39,16,14,605,,365,"10,451",142
Revised Ministry of Health (2018),Butieli Dispensary,2020,188,,604,,,3,,25,37,,"10,525",
Revised Ministry of Health (2018),Butieli Dispensary,2021,202,,388,,,2,,136,,,"12,528",
Revised Ministry of Health (2018),Butieli Dispensary,2022,358,,513,,,69,,83,26,40,"7,090",
Revised Ministry of Health (2018),Butieli Dispensary,2023,22,,461,,,,,16,74,42,"9,813",
Revised Ministry of Health (2018),Butieli Dispensary,2024,81,,229,,,,,31,33,8,"2,659",
Revised Ministry of Health (2018),Chebukutumi Health Centre,2020,94,,665,,1,,,31,8,,"9,072",8
Revised Ministry of Health (2018),Chebukutumi Health Centre,2021,226,,520,,,,,82,,,"7,488",
Revised Ministry of Health (2018),Chebukutumi Health Centre,2022,248,,409,40,,,,64,93,166,"9,792",1
Revised Ministry of Health (2018),Chebukutumi Health Centre,2023,22,,429,15,6,,,155,27,10,"13,348",
Revised Ministry of Health (2018),Chebukutumi Health Centre,2024,47,,215,,2,,,38,46,1,"4,032",
Revised Ministry of Health (2018),Chebukwabi Dispensary,2020,178,,866,,6,,,43,,,"16,700",
Revised Ministry of Health (2018),Chebukwabi Dispensary,2021,59,,746,,,,,96,,42,"18,000",
Revised Ministry of Health (2018),Chebukwabi Dispensary,2022,105,,537,,,,,94,49,21,"2,592",
Revised Ministry of Health (2018),Chebukwabi Dispensary,2023,7,,243,,,,,65,25,,"10,800",
Revised Ministry of Health (2018),Chebukwabi Dispensary,2024,53,,177,,,,,24,26,,"3,168",
Revised Ministry of Health (2018),Chemoge Dispensary,2020,41,,143,,,,,15,15,,"2,246",
Revised Ministry of Health (2018),Chemoge Dispensary,2021,117,,88,,,31,,77,,,"5,527",
Revised Ministry of Health (2018),Chemoge Dispensary,2022,142,,209,,,298,,19,,,"7,168",
Revised Ministry of Health (2018),Chemoge Dispensary,2023,9,,211,,,,,25,,,"5,284",
Revised Ministry of Health (2018),Chemoge Dispensary,2024,,,52,,,,,7,,,"1,378",
Revised Ministry of Health (2018),Chemses Dispensary,2020,34,,175,,,,,39,45,,"5,931",
Revised Ministry of Health (2018),Chemses Dispensary,2021,144,,137,,,,,82,68,,"8,048",
Revised Ministry of Health (2018),Chemses Dispensary,2022,105,,384,,,300,,47,18,2,"5,263",
Revised Ministry of Health (2018),Chemses Dispensary,2023,15,,527,,,50,,10,28,,"7,920",
Revised Ministry of Health (2018),Chemses Dispensary,2024,21,,342,,,,,6,15,,"4,032",
Revised Ministry of Health (2018),Chemwa Bridge Dispensary,2020,155,,432,,,,,42,44,,"8,774",
Revised Ministry of Health (2018),Chemwa Bridge Dispensary,2021,212,,782,,,,,100,,56,"3,744",
Revised Ministry of Health (2018),Chemwa Bridge Dispensary,2022,291,,397,,,,,53,100,100,"2,588",
Revised Ministry of Health (2018),Chemwa Bridge Dispensary,2023,,,281,,3,,,181,26,40,"15,160",1
Revised Ministry of Health (2018),Chemwa Bridge Dispensary,2024,83,,358,,5,,,55,69,10,"3,312",
Revised Ministry of Health (2018),Chemworemwo Dispensary,2020,23,,527,,15,,,95,19,,"5,757",
Revised Ministry of Health (2018),Chemworemwo Dispensary,2021,48,,278,,,,,63,9,,"14,109",
Revised Ministry of Health (2018),Chemworemwo Dispensary,2022,83,,428,,,,,85,57,,"25,774",
Revised Ministry of Health (2018),Chemworemwo Dispensary,2023,,,766,,,"1,010",,134,43,,"17,354",
Revised Ministry of Health (2018),Chemworemwo Dispensary,2024,21,,279,,,,,18,19,,"1,488",
Revised Ministry of Health (2018),Chepkerer Dispensary,2020,124,,246,,,,,8,59,,"8,064",
Revised Ministry of Health (2018),Chepkerer Dispensary,2021,83,,75,,,92,,34,52,,"13,134",
Revised Ministry of Health (2018),Chepkerer Dispensary,2022,177,,243,,,,,6,8,,"7,204",
Revised Ministry of Health (2018),Chepkerer Dispensary,2023,9,,322,,,720,,6,18,,"8,660",
Revised Ministry of Health (2018),Chepkerer Dispensary,2024,7,,180,,,,,9,27,,3,
Revised Ministry of Health (2018),Chepkitale Dispensary,2021,38,,74,,,14,,29,,,580,
Revised Ministry of Health (2018),Chepkitale Dispensary,2022,144,,537,,,163,,71,30,,"9,370",
Revised Ministry of Health (2018),Chepkitale Dispensary,2023,38,,162,,,8,,81,28,,764,
Revised Ministry of Health (2018),Chepkitale Dispensary,2024,,,29,,,,,28,5,,,
Revised Ministry of Health (2018),Chepkube Dispensary,2020,122,,658,,7,,,93,24,,"7,804",
Revised Ministry of Health (2018),Chepkube Dispensary,2021,145,,582,,4,,,35,17,,"17,284",16
Revised Ministry of Health (2018),Chepkube Dispensary,2022,183,,614,,,,,75,79,64,"11,862",1
Revised Ministry of Health (2018),Chepkube Dispensary,2023,,,343,,10,,,175,196,32,"17,806",2
Revised Ministry of Health (2018),Chepkube Dispensary,2024,97,,185,,5,,,80,82,11,"8,990",
Revised Ministry of Health (2018),Chepkurkur Dispensary,2023,,,126,,,,,16,146,,"4,440",
Revised Ministry of Health (2018),Chepkurkur Dispensary,2024,30,,158,,4,,,18,92,,"2,900",
Revised Ministry of Health (2018),Cheptais Sub County Hospital,2020,551,,"1,887",,10,,,215,83,,720,5
Revised Ministry of Health (2018),Cheptais Sub County Hospital,2021,415,,"1,156",,2,,,110,,,"8,208",2
Revised Ministry of Health (2018),Cheptais Sub County Hospital,2022,"2,017",,"1,567",,,,,121,197,322,"31,962",11
Revised Ministry of Health (2018),Cheptais Sub County Hospital,2023,90,,"1,415",,160,,,114,461,,"173,732",3
Revised Ministry of Health (2018),Cheptais Sub County Hospital,2024,282,,771,,108,,,25,95,,"47,232",1
Revised Ministry of Health (2018),Chesikaki Dispensary,2020,316,,724,,,,,191,60,,"13,098",2
Revised Ministry of Health (2018),Chesikaki Dispensary,2021,264,,769,,,,,84,38,10,"16,279",1
Revised Ministry of Health (2018),Chesikaki Dispensary,2022,695,,889,,,,,113,121,164,"25,547",3
Revised Ministry of Health (2018),Chesikaki Dispensary,2023,57,,463,,,,,115,212,57,"20,272",
Revised Ministry of Health (2018),Chesikaki Dispensary,2024,243,,312,,1,,,32,82,25,"8,770",
Revised Ministry of Health (2018),Chesinende Dispensary,2020,47,,297,,9,,,50,35,,"16,498",9
Revised Ministry of Health (2018),Chesinende Dispensary,2021,67,,181,,,,,93,13,,"10,840",
Revised Ministry of Health (2018),Chesinende Dispensary,2022,27,,348,,,6,,23,23,,"5,184",
Revised Ministry of Health (2018),Chesinende Dispensary,2023,,,548,,,2,,21,54,,,
Revised Ministry of Health (2018),Chesinende Dispensary,2024,9,,158,,,,,4,19,,,2
Revised Ministry of Health (2018),Chwele Sub County Hospital,2020,743,,"2,606",,6,,,630,299,,"1,679",170
Revised Ministry of Health (2018),Chwele Sub County Hospital,2021,869,,"3,519",42,,,,912,77,240,"29,244",27
Revised Ministry of Health (2018),Chwele Sub County Hospital,2022,"1,231",,"1,214",,,17,4,489,288,453,"1,247",28
Revised Ministry of Health (2018),Chwele Sub County Hospital,2023,65,,"1,814",,30,,6,703,57,165,455,27
Revised Ministry of Health (2018),Chwele Sub County Hospital,2024,135,,706,,11,,,303,158,43,"30,385",23
Revised Ministry of Health (2018),Daraja Mungu Dispensary,2022,30,,60,,,,,6,10,,35,1
Revised Ministry of Health (2018),Daraja Mungu Dispensary,2023,23,,190,,,,,14,12,,750,9
Revised Ministry of Health (2018),Daraja Mungu Dispensary,2024,35,,54,,,,,4,,,223,
Revised Ministry of Health (2018),Ekitale Dispensary,2020,380,,"1,881",,,,,62,73,,"29,170",6
Revised Ministry of Health (2018),Ekitale Dispensary,2021,226,,883,,,,,384,45,,"18,092",1
Revised Ministry of Health (2018),Ekitale Dispensary,2022,304,,713,,,,,273,125,119,"1,008",4
Revised Ministry of Health (2018),Ekitale Dispensary,2023,32,,499,,4,,,140,214,170,"15,692",11
Revised Ministry of Health (2018),Ekitale Dispensary,2024,167,,292,,7,,,67,63,49,"5,908",1
Revised Ministry of Health (2018),Eluuya Dispensary,2021,9,,41,,,,,2,,,404,
Revised Ministry of Health (2018),Eluuya Dispensary,2022,64,,241,4,,,,30,,,"1,014",
Revised Ministry of Health (2018),Eluuya Dispensary,2023,18,,308,,6,,,54,,,"4,702",
Revised Ministry of Health (2018),Eluuya Dispensary,2024,16,,127,,1,,,8,12,,"2,386",
Revised Ministry of Health (2018),Fuchani Dispensary,2024,18,,24,,,,,8,1,,144,
Revised Ministry of Health (2018),GK Prison Dispensary ( Bungoma South),2020,68,,250,,11,,,3,7,,"15,840",
Revised Ministry of Health (2018),GK Prison Dispensary ( Bungoma South),2021,39,,293,,9,,,6,3,,"14,400",
Revised Ministry of Health (2018),GK Prison Dispensary ( Bungoma South),2022,104,,263,,16,,,3,17,1,"6,816",
Revised Ministry of Health (2018),GK Prison Dispensary ( Bungoma South),2023,27,,183,,,576,,36,20,54,"30,960",
Revised Ministry of Health (2018),GK Prison Dispensary ( Bungoma South),2024,21,,113,,3,,,6,4,7,"6,912",
Revised Ministry of Health (2018),Kaborom Dispensary,2020,106,,376,,,,,41,50,,"12,943",4
Revised Ministry of Health (2018),Kaborom Dispensary,2021,187,,378,,,100,,83,,16,"6,724",
Revised Ministry of Health (2018),Kaborom Dispensary,2022,100,,464,,,,,112,38,,"6,580",2
Revised Ministry of Health (2018),Kaborom Dispensary,2023,9,,527,,,,,68,118,4,"12,096",4
Revised Ministry of Health (2018),Kaborom Dispensary,2024,21,,281,,,2,,25,47,,288,3
Revised Ministry of Health (2018),Kaboywo Dispensary,2020,286,,712,,17,,,63,51,,"8,784",
Revised Ministry of Health (2018),Kaboywo Dispensary,2021,81,,313,,,25,,89,,,"9,296",6
Revised Ministry of Health (2018),Kaboywo Dispensary,2022,76,,750,,,3,,47,318,,"48,448",1
Revised Ministry of Health (2018),Kaboywo Dispensary,2023,30,,364,,,2,,26,286,,,2
Revised Ministry of Health (2018),Kaboywo Dispensary,2024,21,,261,,,20,,19,13,,,
Revised Ministry of Health (2018),Kabuchai Health Centre,2020,145,,940,,,20,,131,40,,"16,417",13
Revised Ministry of Health (2018),Kabuchai Health Centre,2021,268,,676,,,52,,385,24,86,"24,718","1,005"
Revised Ministry of Health (2018),Kabuchai Health Centre,2022,577,,906,,,,,209,109,86,"3,599",5
Revised Ministry of Health (2018),Kabuchai Health Centre,2023,55,,464,,,,,316,1,162,"4,452",28
Revised Ministry of Health (2018),Kabuchai Health Centre,2024,132,,263,,,,,62,72,30,392,4
Revised Ministry of Health (2018),Kabula Health Centre,2020,70,,"2,449",,5,362,,301,63,,"44,272",8
Revised Ministry of Health (2018),Kabula Health Centre,2021,261,,"1,828",,,158,,374,,,"35,006",33
Revised Ministry of Health (2018),Kabula Health Centre,2022,875,,"1,750",,,210,,187,443,104,"39,194",112
Revised Ministry of Health (2018),Kabula Health Centre,2023,34,,"2,229",,7,,,602,468,58,"49,700",2
Revised Ministry of Health (2018),Kabula Health Centre,2024,385,,"1,899",35,2,,4,305,204,30,"8,460",13
Revised Ministry of Health (2018),Kakimanyi Dispensary,2020,107,,381,,8,,,24,15,,"20,294",
Revised Ministry of Health (2018),Kakimanyi Dispensary,2021,105,,371,,2,,,33,15,,"15,704",
Revised Ministry of Health (2018),Kakimanyi Dispensary,2022,225,,375,,,,,19,4,31,"4,600",
Revised Ministry of Health (2018),Kakimanyi Dispensary,2023,15,,407,,,,,31,32,22,"14,056",
Revised Ministry of Health (2018),Kakimanyi Dispensary,2024,27,,171,,4,,,4,11,3,200,
Revised Ministry of Health (2018),Kamasielo Dispensary,2020,117,,744,,,,,19,,,"10,832",
Revised Ministry of Health (2018),Kamasielo Dispensary,2021,177,,836,,,,,14,,8,"6,306",
Revised Ministry of Health (2018),Kamasielo Dispensary,2022,192,,435,,,,,30,20,,"7,488",
Revised Ministry of Health (2018),Kamasielo Dispensary,2023,18,,395,,,,,5,60,3,"7,776",
Revised Ministry of Health (2018),Kamasielo Dispensary,2024,42,,281,,,,,11,10,7,,
Revised Ministry of Health (2018),kambini Dispensary,2020,89,,775,,,,,61,4,,"8,179",1
Revised Ministry of Health (2018),kambini Dispensary,2021,157,,426,,,,,69,30,30,"9,548",
Revised Ministry of Health (2018),kambini Dispensary,2022,120,,605,,,,,61,37,2,"4,320",2
Revised Ministry of Health (2018),kambini Dispensary,2023,4,,506,,,,,60,95,15,"5,008",
Revised Ministry of Health (2018),kambini Dispensary,2024,13,,168,,,,,46,24,5,"2,592",
Revised Ministry of Health (2018),Kamenjo Dispensary,2020,63,,374,,30,,,12,65,,"3,673",1
Revised Ministry of Health (2018),Kamenjo Dispensary,2021,396,,232,,26,,,52,1,,"2,700",
Revised Ministry of Health (2018),Kamenjo Dispensary,2022,381,,629,,1,,,54,79,,"6,120",
Revised Ministry of Health (2018),Kamenjo Dispensary,2023,,,269,,,,,28,78,18,"3,940",
Revised Ministry of Health (2018),Kamenjo Dispensary,2024,6,,129,,,,,26,25,45,"3,936",
Revised Ministry of Health (2018),Kamukuywa Dispensary,2020,104,,739,,7,,,320,110,,"14,355",
Revised Ministry of Health (2018),Kamukuywa Dispensary,2021,267,,515,,,330,,295,117,59,"13,432",1
Revised Ministry of Health (2018),Kamukuywa Dispensary,2022,223,,532,,,114,,469,216,,"24,241",1
Revised Ministry of Health (2018),Kamukuywa Dispensary,2023,14,,364,188,,,850,166,130,194,"9,609",12
Revised Ministry of Health (2018),Kamukuywa Dispensary,2024,86,,363,,,,,85,,,"1,728",
Revised Ministry of Health (2018),Kamuneru Dispensary,2020,302,,653,,24,,,181,101,,"21,744",
Revised Ministry of Health (2018),Kamuneru Dispensary,2021,273,,269,,5,57,,364,70,,"13,104",23
Revised Ministry of Health (2018),Kamuneru Dispensary,2022,181,,597,,,62,,277,93,,576,7
Revised Ministry of Health (2018),Kamuneru Dispensary,2023,23,,668,,8,100,,144,210,,"12,736",10
Revised Ministry of Health (2018),Kamuneru Dispensary,2024,,,201,,,42,2,34,54,,"4,020",1
Revised Ministry of Health (2018),Kamusinde Dispensary,2020,87,,557,,9,30,,24,,,"2,725",
Revised Ministry of Health (2018),Kamusinde Dispensary,2021,122,,581,,,,,32,1,31,"3,492",
Revised Ministry of Health (2018),Kamusinde Dispensary,2022,384,,356,10,,962,,38,35,,"5,795",
Revised Ministry of Health (2018),Kamusinde Dispensary,2023,27,,248,21,,778,,53,32,13,"5,217",
Revised Ministry of Health (2018),Kamusinde Dispensary,2024,,,208,,,,,11,11,2,"2,160",
Revised Ministry of Health (2018),Kanganga Dispensary,2020,91,,797,,1,,,76,,,"14,962",
Revised Ministry of Health (2018),Kanganga Dispensary,2021,349,,643,,,,,66,,,"48,873",
Revised Ministry of Health (2018),Kanganga Dispensary,2022,929,,753,,,,,44,71,126,,
Revised Ministry of Health (2018),Kanganga Dispensary,2023,63,,460,,33,,,31,192,5,"14,544",99
Revised Ministry of Health (2018),Kanganga Dispensary,2024,174,,258,,21,,,17,106,2,"3,620",
Revised Ministry of Health (2018),Kapchebon Dispensary,2020,1,,54,,,,,6,15,,"2,461",
Revised Ministry of Health (2018),Kapchebon Dispensary,2021,40,,78,,,43,,34,12,,"2,405",
Revised Ministry of Health (2018),Kapchebon Dispensary,2022,217,,190,,,13,,29,17,,"3,664",
Revised Ministry of Health (2018),Kapchebon Dispensary,2023,32,,231,,,153,,16,24,3,"10,792",
Revised Ministry of Health (2018),Kapchebon Dispensary,2024,1,,51,,,,,1,9,,"4,320",
Revised Ministry of Health (2018),Kapkateny Dispensary,2020,267,1,"1,040",,13,,,86,10,,"20,939",
Revised Ministry of Health (2018),Kapkateny Dispensary,2021,563,,780,,1,,,39,49,,"20,996",1
Revised Ministry of Health (2018),Kapkateny Dispensary,2022,431,4,538,,,,,63,27,63,"5,008",
Revised Ministry of Health (2018),Kapkateny Dispensary,2023,49,,567,,7,,,20,73,10,"14,112",
Revised Ministry of Health (2018),Kapkateny Dispensary,2024,80,,336,,6,,,16,32,,"8,432",
Revised Ministry of Health (2018),Kapkota Dispensary,2020,79,,673,,,,,50,4,,"15,013",
Revised Ministry of Health (2018),Kapkota Dispensary,2021,93,,637,,,,,19,,,"19,969",
Revised Ministry of Health (2018),Kapkota Dispensary,2022,157,,605,,,178,,17,18,50,"12,296",
Revised Ministry of Health (2018),Kapkota Dispensary,2023,15,,343,,6,,,22,52,,"10,944",
Revised Ministry of Health (2018),Kapkota Dispensary,2024,78,,126,,8,,,11,26,,"3,272",
Revised Ministry of Health (2018),Kapsambu Dispensary,2020,128,,292,,,,,36,25,,"11,088",
Revised Ministry of Health (2018),Kapsambu Dispensary,2021,149,,705,,,,,29,,6,"16,704",
Revised Ministry of Health (2018),Kapsambu Dispensary,2022,374,,470,,,576,,27,,81,"12,096",
Revised Ministry of Health (2018),Kapsambu Dispensary,2023,18,,524,,12,,,28,58,12,"12,240",
Revised Ministry of Health (2018),Kapsambu Dispensary,2024,78,,260,,4,,,19,10,12,"1,872",
Revised Ministry of Health (2018),Kaptalelio Dispensary,2020,311,,476,,18,,,100,237,,"15,295",3
Revised Ministry of Health (2018),Kaptalelio Dispensary,2021,252,,295,,,,,418,20,,"15,108",4
Revised Ministry of Health (2018),Kaptalelio Dispensary,2022,228,,824,,,,,568,30,10,"5,953",18
Revised Ministry of Health (2018),Kaptalelio Dispensary,2023,138,,402,,,27,,80,46,3,"11,437",9
Revised Ministry of Health (2018),Kaptalelio Dispensary,2024,18,,213,,,49,,46,29,,144,1
Revised Ministry of Health (2018),Kaptama Health Centre,2020,32,,107,,3,,,35,16,,"1,580",
Revised Ministry of Health (2018),Kaptama Health Centre,2021,185,,82,,,160,,127,,,"10,228",
Revised Ministry of Health (2018),Kaptama Health Centre,2022,"3,513",,473,,,380,,138,104,,"4,896",
Revised Ministry of Health (2018),Kaptama Health Centre,2023,,,623,,,200,,47,16,,"5,212",
Revised Ministry of Health (2018),Kaptama Health Centre,2024,3,,163,,,,,30,23,10,198,
Revised Ministry of Health (2018),Kaptanai Dispensary,2020,454,,"1,109",,,,,285,260,,"13,442",
Revised Ministry of Health (2018),Kaptanai Dispensary,2021,352,,864,,,,,532,320,,"13,615",6
Revised Ministry of Health (2018),Kaptanai Dispensary,2022,385,,578,,,,3,168,189,219,"31,538",7
Revised Ministry of Health (2018),Kaptanai Dispensary,2023,20,,506,,3,,,285,105,111,"20,888",2
Revised Ministry of Health (2018),Kaptanai Dispensary,2024,34,,342,,11,,,97,86,32,"5,010",2
Revised Ministry of Health (2018),Karima Dispensary (Bungoma),2020,121,,656,,5,,,,410,,"2,418",3
Revised Ministry of Health (2018),Karima Dispensary (Bungoma),2021,85,,417,,97,,,91,77,59,"5,065",6
Revised Ministry of Health (2018),Karima Dispensary (Bungoma),2022,169,1,453,,,,,160,,215,"7,434",8
Revised Ministry of Health (2018),Karima Dispensary (Bungoma),2023,42,,457,,12,,,265,,24,"8,208",6
Revised Ministry of Health (2018),Karima Dispensary (Bungoma),2024,89,,271,,5,,,73,9,23,"2,304",2
Revised Ministry of Health (2018),Kayaya Dispensary,2020,105,,806,,18,,,140,28,,"16,686",1
Revised Ministry of Health (2018),Kayaya Dispensary,2021,188,,"1,028",,9,5,,247,61,,"22,752",
Revised Ministry of Health (2018),Kayaya Dispensary,2022,337,,585,,,,,82,81,99,144,
Revised Ministry of Health (2018),Kayaya Dispensary,2023,,,218,,4,,,92,193,,"8,736",
Revised Ministry of Health (2018),Kayaya Dispensary,2024,30,,180,,3,,,28,35,10,"1,296",
Revised Ministry of Health (2018),Khachonge Dispensary,2020,7,,85,,,,,4,,,"1,008",
Revised Ministry of Health (2018),Khachonge Dispensary,2021,66,,502,,,,,31,2,6,144,
Revised Ministry of Health (2018),Khachonge Dispensary,2022,98,,476,,,,,26,24,15,,
Revised Ministry of Health (2018),Khachonge Dispensary,2023,2,,200,,10,,,14,16,17,590,
Revised Ministry of Health (2018),Khachonge Dispensary,2024,10,,128,,,,,16,,1,"1,093",
Revised Ministry of Health (2018),Khalala Dispensary,2020,59,,486,,,,,24,10,,"4,484",
Revised Ministry of Health (2018),Khalala Dispensary,2021,183,,338,,,,,101,9,,"10,368",
Revised Ministry of Health (2018),Khalala Dispensary,2022,315,,516,,,,,19,,61,"12,152",
Revised Ministry of Health (2018),Khalala Dispensary,2023,42,,462,,1,,,60,31,17,"20,792",
Revised Ministry of Health (2018),Khalala Dispensary,2024,39,,281,,,,,15,14,1,"5,898",
Revised Ministry of Health (2018),Khalumuli Dispensary,2020,136,2,706,,9,2,,51,10,,"3,950",
Revised Ministry of Health (2018),Khalumuli Dispensary,2021,110,,745,,3,16,,148,,,"4,740",
Revised Ministry of Health (2018),Khalumuli Dispensary,2022,268,,542,,,,,37,58,60,"7,000",
Revised Ministry of Health (2018),Khalumuli Dispensary,2023,27,,288,,,,,102,43,21,"13,608",
Revised Ministry of Health (2018),Khalumuli Dispensary,2024,55,,286,,,,,31,3,,"3,026",
Revised Ministry of Health (2018),Khaoya Dispensary,2020,136,,538,,,,,137,10,,"1,030",2
Revised Ministry of Health (2018),Khaoya Dispensary,2021,197,,541,,,,,86,,,"2,337",2
Revised Ministry of Health (2018),Khaoya Dispensary,2022,198,,486,,,,,102,59,30,300,
Revised Ministry of Health (2018),Khaoya Dispensary,2023,11,,241,12,2,,,73,7,13,"1,728",5
